Term,Type,Synonyms,Definition,Generated Definition
"calculation period length",Class,"","an explicit duration defined as the number of days from the adjusted effective or start date to the adjusted termination or end date calculated in accordance with the applicable day count fraction","A kind of explicit duration."
"calendar period",Class,"","an enumeration that indicates whether a CalendarSpecifiedDate is figured with respect to a calendar week, a calendar month, a calendar quarter, or a calendar year","A kind of time interval."
"calendar specified interval",Class,"","a RecurrenceInterval that is specified as the nth day of some CalendarPeriod (such as a calendar month), and a TimeDirection (forward from the beginning of the month, or backwards from the end).The nth day is an ordinal number, not a cardinal number. '1' means the first day of the calendar period.","A kind of recurrence interval. A valid occurrence satisfies the following necessary conditions:
has time direction exactly one occurrence of time direction.
has calendar period exactly one occurrence of calendar period."
"call event",Class,"","an event associated with the call schedule for a debt instrument","A kind of occurrence kind."
"call feature",Class,"call provision","a redemption provision defining the schedule and price of redemption prior to maturity","A kind of tradable debt instrument redemption provision. A valid occurrence satisfies the following necessary conditions:
comprises at least one occurrence of call notification provision.
comprises at least one occurrence of call schedule."
"call notification provision",Class,"","a provision of a call feature defining notification requirements","A kind of tradable debt instrument redemption provision. A valid occurrence may have the following properties:
has date period any number of occurrences of call window."
"call premium",Class,"","an amount over par that an issuer must pay an investor to redeem the security early","A kind of monetary price."
"call price",Class,"redemption price","a price at which a debt instrument with a call feature may be redeemed by the issuer","A kind of monetary price."
"call schedule",Class,"","a schedule that defines the events associated with the call feature of a debt instrument, i.e, the dates on which the debt instrument may be called (recalled) at what price by the issuer","A kind of schedule. A valid occurrence satisfies the following necessary conditions:
comprises at least one occurrence of (Unnamed Class).
comprises at least one occurrence of call event."
"call window",Class,"","an explicit period of time prior to a call date during which an issuer or agent must give notice to holders","A kind of date period."
"Canadian consumer price index",Class,"","an economic indicator representing a measure of changes over time in the prices of a fixed basket of consumer goods and services that Canadian private households consume","A kind of consumer price index and expression. A valid occurrence satisfies the following necessary conditions:
has argument at least one occurrence of fixed basket.
has argument exactly one occurrence of Canadian households consumers universe.
applies to at least one occurrence of Canadian households consumers universe."
"Canadian Dollar Offered Rate",Class,"","a daily interbank offered rate based on the trimmed arithmetic average of the rates at which CDOR submitters would be willing to lend funds for specific terms-to-maturity against the primary market issuance of Banker's Acceptances to clients with existing credit facilities that reference CDOR (i.e. bid-side rates of the primary BA market)","A kind of interbank offered rate."
"Canadian households consumers universe",Class,"","a statistical universe consisting of all private households in Canada, with the exception of soldiers on military bases, people living on First Nations reserves, institutionalized persons, and households living in the rural areas of the three northern territories","A kind of civilian non-institutional population. A valid occurrence satisfies the following necessary conditions:
has member at least one occurrence of consumer.
has context at least one occurrence of household."
"Canadian producer price index",Class,"","an economic indicator representing a measure of the change over time in the prices of a fixed-basket of domestic producer goods and services","A kind of producer price index. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of (Unnamed Class)."
"capability",Class,"","A capability represents the ability to perform a particular type of work and may involve people with particular skills and knowledge, intellectual property, defined practices, operating facilities, tools and equipment.","A valid occurrence satisfies the following necessary condition:
involves at least one occurrence of facility."
"capital",Class,"","financial capital, which represents obligations, and is liquidated as money for trade, and owned by legal entities","A valid occurrence may have the following properties:
takes form any number of occurrences of monetary amount."
"capital productivity, based on value added",Class,"","a ratio of a quantity index of value added to a quantity index of capital input","A kind of productivity."
"capital surplus",Class,"","Capital surplus is that amount which a firm raises in excess of the par value (nominal value) of the shares (common stock).","A kind of equity."
"capital-labor multifactor productivity (MFP), based on value added",Class,"","a ratio of a quantity index of value added to a quantity index of combined labor and capital input","A kind of productivity."
"capital-labor-energy-materials multifactor productivity",Class,"KLEMS multifactor productivity","a ratio of a quantity index of gross output to a quantity index of combined inputs","A kind of productivity."
"cash delivery commitment",Class,"","Commitment to deliver cash at the earliest available date as per settlement convention. This is the same date as a settlement date when the corresponding cash is made available in the other currency, in settlement for this amount.","A valid occurrence satisfies the following necessary condition:
commits to at least one occurrence of deliver cash."
"cash instrument",Class,"","a financial instrument whose value is ascertained directly by markets and that can be converted into cash quickly with minimal impact on the price received","A kind of financial instrument."
"cashflow expression",Class,"","an expression that specifies a calculation of a cash flow as a component of a cashflow formula","A kind of expression."
"cashflow expression",Class,"","","A kind of expression."
"cashflow formula",Class,"","a formula for determining cashflows for a derivative instrument","A kind of formula. A valid occurrence satisfies the following necessary condition:
has expression at least one occurrence of cashflow expression."
"cashflow formula",Class,"","","A kind of formula. A valid occurrence satisfies the following necessary condition:
has expression at least one occurrence of cashflow expression."
"cashflow terms",Class,"","","A kind of contract terms set. A valid occurrence satisfies the following necessary condition:
has formula at least one occurrence of cashflow formula."
"cashflow terms",Class,"","terms setting out a cashflow structure of payments committed to by one party to a contract","A kind of debt terms and derivative transaction terms."
"CashflowTermsSet",Class,"","",""
"catalog",Class,"","a list of goods and/or services available for sale with their description and possibly prices, published as a printed or electronic document (e-catalog)","A kind of publication. A valid occurrence satisfies the following necessary conditions:
characterizes at least one occurrence of product.
characterizes at least one occurrence of product.A valid occurrence may also have the following properties:
is identified by any number of occurrences of identifier."
"central bank",Class,"","a financial institution that is the monetary authority and major regulatory bank for a country (or group of countries)","A kind of Bank and monetary authority. A valid occurrence may have the following properties:
has identity any number of occurrences of instrumentality."
"central counterparty clearing house",Class,"","a clearing house that helps facilitate trading in derivatives and equities markets","A kind of clearing house."
"central securities depository",Class,"","a functional entity that provides a central point for depositing financial instruments ('securities'), for example bonds and shares","A kind of financial service provider."
"chartered legal person",Class,"","a legal person created by a royal charter or decree","A kind of juridical person."
